Iter 0: train: 4.62431246373, valid: 4.57512084999, reg: 5147.93972719
Results {'tests_loss': 2.3332695432828281, 'valid_loss': 2.2537698865291178, 'train_loss': 1.1004987660337391}
Iter 0: train: 5.25594232069, valid: 5.26060712712, reg: 5144.64468038
Iter 10: train: 0.880232225853, valid: 2.69459516006, reg: 3757.38963356
Iter 20: train: 0.507991854621, valid: 2.35583583759, reg: 1930.66141486
Iter 30: train: 0.761351455762, valid: 2.32913061577, reg: 799.855811804
Iter 40: train: 0.92689309361, valid: 2.28691327485, reg: 302.59351642
Hyper iter 7
Results {'tests_loss': 2.3628348858504187, 'valid_loss': 2.2802733616960413, 'train_loss': 0.86147895083342985}
Iter 0: train: 5.59528987422, valid: 5.6019176747, reg: 5144.64468038
Iter 10: train: 0.68421274287, valid: 2.78869558324, reg: 3759.31569939
Iter 20: train: 0.384590734588, valid: 2.43056210873, reg: 1931.27934925
Iter 30: train: 0.612196886301, valid: 2.34568168348, reg: 795.412538673
Iter 40: train: 0.792959572973, valid: 2.30075265837, reg: 294.869574676
Hyper iter 8
Results {'tests_loss': 2.4132341284326584, 'valid_loss': 2.330582305217308, 'train_loss': 0.71939779645126334}
Iter 0: train: 5.94795315851, valid: 5.95355535597, reg: 5144.64468038
Iter 10: train: 0.548061487242, valid: 2.90948020037, reg: 3761.36227791
Iter 20: train: 0.310090240994, valid: 2.5354529817, reg: 1932.30521339
Iter 30: train: 0.507579222227, valid: 2.37609419802, reg: 792.276096118
Iter 40: train: 0.698868511369, valid: 2.31979805739, reg: 288.645484836
Hyper iter 9
Results {'tests_loss': 2.447640826923895, 'valid_loss': 2.3667624293218541, 'train_loss': 0.61952135545939069}
Iter 0: train: 6.31014329067, valid: 6.31268950421, reg: 5144.64468038
Iter 10: train: 0.45297146208, valid: 3.04359184666, reg: 3763.53699548
Iter 20: train: 0.262090339694, valid: 2.65310380354, reg: 1933.81731538
Iter 30: train: 0.429464008809, valid: 2.41632572792, reg: 790.436001928
Iter 40: train: 0.623996227409, valid: 2.33488084442, reg: 283.867864322
Hyper iter 10
Results {'tests_loss': 2.4751575036233886, 'valid_loss': 2.3968137647131211, 'train_loss': 0.54528243801147314}
Iter 0: train: 6.67936855127, valid: 6.67828090507, reg: 5144.64468038
Iter 10: train: 0.391628533803, valid: 3.20657363415, reg: 3765.79989325
Iter 20: train: 0.229506620008, valid: 2.77642619019, reg: 1935.70260389
Iter 30: train: 0.370312535005, valid: 2.46003031165, reg: 789.557458687
Iter 40: train: 0.562526502865, valid: 2.34853674616, reg: 280.21723277
Hyper iter 11
Results {'tests_loss': 2.4932892955200292, 'valid_loss': 2.4167678283676173, 'train_loss': 0.49019138327119954}
Iter 0: train: 7.05413104669, valid: 7.04947200796, reg: 5144.64468038
Iter 10: train: 0.354479329059, valid: 3.38339508312, reg: 3768.17800956
Iter 20: train: 0.20778478144, valid: 2.92296946583, reg: 1938.03604377
Iter 30: train: 0.325433104988, valid: 2.50970144115, reg: 789.539174879
Iter 40: train: 0.510972301913, valid: 2.36236013866, reg: 277.531477299
Hyper iter 12
Results {'tests_loss': 2.5069116140300438, 'valid_loss': 2.4328738892331474, 'train_loss': 0.4489799875129033}
Iter 0: train: 7.43352730138, valid: 7.42531678006, reg: 5144.64468038
Iter 10: train: 0.335129584917, valid: 3.58341047427, reg: 3770.65240593
Iter 20: train: 0.193647837395, valid: 3.06741131567, reg: 1940.69890075
Iter 30: train: 0.291986992744, valid: 2.57572209642, reg: 790.137375289
Iter 40: train: 0.466776192397, valid: 2.37771644738, reg: 275.618808384
Hyper iter 13
Results {'tests_loss': 2.5147773804759899, 'valid_loss': 2.4441526865045189, 'train_loss': 0.41735524818680531}
Iter 0: train: 7.81693417426, valid: 7.80500161626, reg: 5144.64468038
Iter 10: train: 0.317518306621, valid: 3.7889528535, reg: 3773.26450548
Iter 20: train: 0.18482057989, valid: 3.21335840517, reg: 1943.68130801
Iter 30: train: 0.266238679812, valid: 2.64399790245, reg: 791.171188865
Iter 40: train: 0.429598365852, valid: 2.39807413514, reg: 274.25171928
Hyper iter 14
Results {'tests_loss': 2.5227981711930467, 'valid_loss': 2.4564201939696177, 'train_loss': 0.39256414237850379}
Iter 0: train: 8.2037939316, valid: 8.18793458706, reg: 5144.64468038
Iter 10: train: 0.312281009874, valid: 3.97808269135, reg: 3776.16904091
Iter 20: train: 0.17794852792, valid: 3.38186897724, reg: 1947.45704699
Iter 30: train: 0.246270719081, valid: 2.73472628621, reg: 793.000917536
Iter 40: train: 0.39779665086, valid: 2.4191803133, reg: 273.550281735
Hyper iter 15
Results {'tests_loss': 2.5321460024033553, 'valid_loss': 2.4648175686322147, 'train_loss': 0.37263139145393309}
[[-0.13152426 -0.06741491 -0.0719289  ..., -0.06804692 -0.02469725
   0.01003399]
 [-0.1219003  -0.0469254  -0.09442752 ..., -0.0990442  -0.08812654
   0.00786593]
 [-0.09015623 -0.11639437 -0.79176126 ..., -0.18373777 -0.09674271
  -0.0750574 ]
 ..., 
 [-0.12675226 -0.13832296 -0.21319791 ..., -1.12387002 -0.14714627
  -0.15239954]
 [-0.05938782 -0.08079597 -0.10409585 ..., -0.13279142 -0.81478016
   0.04160975]
 [ 0.03814984  0.07528212  0.04563125 ..., -0.03857387  0.0458507
   0.32768715]]
[ 1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.
  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.  1.]
